S1;7854;3965;14129;188;85
S2;48;48;634;3;1
S3;1476;1476;1055644;96;2
S4;22;22;3318;5;1
S5;40;40;51213;5;2
S6;93;87;196144;10;11
S7;131;131;41852;3;1
S8;54;11;177870;33;1159
S9;4705;3214;63339;180;309
S10;2269;539;845476;35;9054
S11;55;55;44886;116;6
S12;1365;1365;351160;856;144
S13;721;599;69211;14;28
S14;5581;985;199507;1165;1620
C1;6961;154;7541030;32;1000
C2;4471;4471;849433;9;0
C3;7709;515;4570556;132;9
C4;7413;2792;20313943;421;50
C5;6630;5998;7541030;69;0
C6;49256;49256;1231939;823;148
C7;40362;325;196144;255;134
C8;3262;856;1819487;844;1973
C9;9354;9354;12690276;35;0
C10;1650;1650;133325;12;10
L1;65198;1566;14134227;4096;209287
L2;412923;412923;12314039;120;148
L3;-1;-1;-1;-1;-1
L4;929238;929238;154349427;1021;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;69870;69870;154349427;933;0
L8;869115;869115;14134227;5561;0
CH1;750882;750882;12348039;2235;0
CH2;-1;-1;-1;-1;-1
CH3;8102;8102;3709856;128;0
CH4;108021;108021;412213426;7110;0
CH5;1153017;1153017;312213426;21055;0
CH6;249;249;9327;11;0
CH7;19396;19396;634144;2058;0
CH8;-1;-1;-1;-1;-1
