S1;10086;3375;12219;206;85
S2;60;40;644;3;1
S3;4316;1537;878422;122;2
S4;36;20;3318;5;1
S5;72;37;49095;5;2
S6;270;88;179199;11;11
S7;408;219;49016;5;1
S8;90;25;177435;31;1159
S9;12008;4825;63375;731;309
S10;2895;503;833154;39;9054
S11;102;60;46459;128;6
S12;3498;3498;317759;1086;144
S13;1296;895;69598;65;28
S14;8517;4511;190826;1786;1620
C1;7576;157;9760551;43;1000
C2;463;463;855533;9;0
C3;1464;475;4377385;129;9
C4;22988;658;21351326;446;50
C5;6620;3593;7488659;69;0
C6;44368;44368;2398617;744;148
C7;37488;139;190805;252;134
C8;3564;675;1746312;1029;1973
C9;8681;8681;11522997;33;0
C10;1747;1747;205799;13;10
L1;59014;1015;9724443;3419;209287
L2;396636;396636;12053070;95;148
L3;-1;-1;-1;-1;-1
L4;1010030;1010030;273616350;1308;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;91915;91915;277031830;1011;0
L8;1006535;1006535;42720372;7432;0
CH1;825180;825180;13322626;2538;0
CH2;-1;-1;-1;-1;-1
CH3;7437;7437;1627303;129;0
CH4;196350;196350;626196243;8829;0
CH5;-1;-1;-1;-1;-1
CH6;208;208;8564;3;0
CH7;47912;47912;915483;4494;0
CH8;-1;-1;-1;-1;-1
