S1;10184;3582;12245;217;85
S2;59;44;634;3;1
S3;3722;1581;796768;102;2
S4;37;20;3616;5;1
S5;82;36;51910;6;2
S6;290;92;189986;12;11
S7;454;212;52939;6;1
S8;105;22;189153;37;1159
S9;11816;4717;63424;743;309
S10;3186;541;911205;46;9054
S11;106;55;48492;124;6
S12;3933;3933;347311;1137;144
S13;1269;768;62808;64;28
S14;8581;4559;178178;1708;1620
C1;6616;154;9490337;38;1000
C2;432;432;768519;9;0
C3;1503;520;4209555;130;9
C4;20165;670;19828480;406;50
C5;7107;3984;7827339;73;0
C6;53346;53346;2666095;825;148
C7;41894;136;211285;279;134
C8;3340;581;1761178;1035;1973
C9;8874;8874;11482171;33;0
C10;1629;1629;184275;11;10
L1;62544;1089;9572303;3346;209287
L2;442359;442359;13210542;101;148
L3;-1;-1;-1;-1;-1
L4;911529;911529;245594413;1139;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;96699;96699;286822591;1006;0
L8;1026141;1026141;39940487;7535;0
CH1;828090;828090;13116799;2427;0
CH2;-1;-1;-1;-1;-1
CH3;7728;7728;1637318;126;0
CH4;199715;199715;649604008;8997;0
CH5;-1;-1;-1;-1;-1
CH6;211;211;8441;3;0
CH7;48298;48298;969145;4377;0
CH8;-1;-1;-1;-1;-1
