S1;-1;-1
S2;106;56
S3;90639;91720
S4;1565;1350
S5;1495;1689
S6;14710;15558
S7;162511;167081
S8;89;15
S9;-1;-1
S10;5043;2703
S11;57273;55172
S12;16899;16694
S13;2287;1634
S14;14209;8339
C1;11657;2831
C2;1858;1484
C3;2681;1063
C4;99182;89761
C5;12101;6199
C6;95068;57526
C7;63984;24555
C8;6909;4394
C9;50939;43543
C10;11720;8041
L1;202517;160975
L2;880956;649942
L3;-1;-1
L4;-1;-1
L5;-1;-1
L6;-1;-1
L7;221950;123154
L8;1080074;356414
CH1;1189836;522599
CH2;-1;-1
CH3;115729;92023
CH4;327798;218075
CH5;-1;-1
CH6;17584;13636
CH7;56489;39280
CH8;-1;-1
