S1;-1;-1
S2;101;59
S3;100610;96360
S4;1491;1467
S5;1546;1586
S6;15765;14714
S7;187327;173738
S8;89;16
S9;-1;-1
S10;5842;3008
S11;52015;56247
S12;20468;18920
S13;2487;1817
S14;15645;7428
C1;10699;3109
C2;1723;1502
C3;2279;1021
C4;109581;87573
C5;10735;6643
C6;112374;61506
C7;60003;27936
C8;7935;4431
C9;49170;43176
C10;10674;7816
L1;198425;160306
L2;963926;696351
L3;-1;-1
L4;-1;-1
L5;-1;-1
L6;-1;-1
L7;223884;124237
L8;1103870;334804
CH1;1196697;525802
CH2;-1;-1
CH3;118551;90329
CH4;301798;250568
CH5;-1;-1
CH6;16550;14329
CH7;51947;40499
CH8;-1;-1
