S1;-1;-1
S2;72;33
S3;29390;29372
S4;876;875
S5;997;938
S6;10766;10774
S7;166300;166148
S8;78;5
S9;-1;-1
S10;4560;2377
S11;44151;44215
S12;11852;9554
S13;2050;1309
S14;13128;5972
C1;9655;1964
C2;1445;934
C3;1862;489
C4;93008;69478
C5;8597;1922
C6;96927;42835
C7;59155;20253
C8;5793;1902
C9;45031;42407
C10;9422;7409
L1;219281;154334
L2;823832;565916
L3;-1;-1
L4;-1;-1
L5;-1;-1
L6;-1;-1
L7;171938;110585
L8;1126264;307583
CH1;1144556;280829
CH2;-1;-1
CH3;98154;109648
CH4;333948;207617
CH5;-1;-1
CH6;8273;10519
CH7;61415;32973
CH8;-1;-1
