S1;-1;-1
S2;67;32
S3;31357;30823
S4;910;838
S5;1069;1061
S6;11223;10841
S7;171579;173536
S8;75;5
S9;-1;-1
S10;4481;2288
S11;49281;47459
S12;10370;9938
S13;1844;1312
S14;12824;5279
C1;8870;2203
C2;1531;970
C3;2225;540
C4;98792;75468
C5;8168;1860
C6;97023;46370
C7;66000;20352
C8;5221;2133
C9;52128;42361
C10;8390;7687
L1;186665;150193
L2;861687;499312
L3;-1;-1
L4;-1;-1
L5;-1;-1
L6;-1;-1
L7;194256;114807
L8;1124225;319877
CH1;1039720;304962
CH2;-1;-1
CH3;101278;97554
CH4;299567;184761
CH5;-1;-1
CH6;9221;9045
CH7;56761;33553
CH8;-1;-1
