S1;-1;-1
S2;89;40
S3;78024;69756
S4;1242;1261
S5;1157;1275
S6;12422;12917
S7;186945;190879
S8;85;11
S9;-1;-1
S10;4742;2681
S11;53338;52231
S12;14974;13107
S13;2200;1355
S14;13562;7051
C1;9590;2356
C2;1586;1220
C3;2218;754
C4;105789;76176
C5;11078;4262
C6;93919;52869
C7;61356;23385
C8;5990;3177
C9;50087;39815
C10;9057;7555
L1;223023;158810
L2;916891;624435
L3;-1;-1
L4;-1;-1
L5;-1;-1
L6;-1;-1
L7;200149;128226
L8;1190876;315997
CH1;1137616;345072
CH2;-1;-1
CH3;103936;97547
CH4;295206;201248
CH5;-1;-1
CH6;11181;11383
CH7;60229;35155
CH8;-1;-1
