S1;12215;8532;2543;153;6
S2;1110;1110;2996;307;1
S3;18831;18831;4064376;1199;2
S4;968;968;67540;2982;0
S5;2537;2388;353004;563;0
S6;6272;5933;1121741;1002;11
S7;3807;3807;200755;423;1
S8;14636;3568;403410;1097;1159
S9;8465;7214;97348;206;309
S10;44965;15964;8455476;456;0
S11;5499;5402;44886;189;6
S12;11921;7914;3510160;856;144
S13;3011;2189;229112;509;28
S14;-1;-1;-1;-1;-1
C1;21500;3294;7541030;1243;1000
C2;-1;-1;-1;-1;-1
C3;18246;8564;21791815;2793;9
C4;30180;26721;20313943;2179;50
C5;-1;-1;-1;-1;-1
C6;120851;120851;123198039;11903;148
C7;63733;1026;7310603;21760;134
C8;57167;2536;763709856;32994;1973
C9;-1;-1;-1;-1;-1
C10;17734;17734;1373985;2621;10
L1;124309;124309;218415898;2113549;209287
L2;1120494;1120494;392348039;35146;148
L3;-1;-1;-1;-1;-1
L4;-1;-1;-1;-1;-1
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;420328;420328;910235367;238578;0
L8;-1;-1;-1;-1;-1
CH1;-1;-1;-1;-1;-1
CH2;-1;-1;-1;-1;-1
CH3;60397;15422;763709856;1088697;0
CH4;-1;-1;-1;-1;-1
CH5;-1;-1;-1;-1;-1
CH6;15422;15422;30758;598;0
CH7;258842;258842;1805873;1182140;0
CH8;-1;-1;-1;-1;-1
