S1;6609;3197;10797;145;85
S2;41;41;622;3;1
S3;1513;1513;819385;100;2
S4;20;20;3298;5;1
S5;37;33;52040;5;2
S6;96;76;225965;11;11
S7;217;217;58048;5;1
S8;61;21;180045;33;1159
S9;3960;2619;53694;150;309
S10;2658;552;885193;49;9054
S11;56;56;46839;121;6
S12;1509;1509;292629;751;144
S13;673;556;81940;16;28
S14;6345;1483;174379;1021;1620
C1;6610;169;10278719;42;1000
C2;4256;4256;848722;9;0
C3;8200;556;4592307;133;9
C4;7963;2957;24138613;468;50
C5;6179;3577;6969792;59;0
C6;43702;43702;2589527;757;148
C7;34919;129;191904;257;134
C8;3376;580;1770029;1108;1973
C9;8182;8182;11468543;30;0
C10;1657;1657;182400;11;10
L1;66827;977;9718707;3539;209287
L2;474158;474158;14185195;108;148
L3;-1;-1;-1;-1;-1
L4;989065;989065;165137242;985;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;75803;75803;168521189;917;0
L8;882574;882574;14593954;6260;0
CH1;706117;706117;11304514;2337;0
CH2;-1;-1;-1;-1;-1
CH3;7535;7535;1625209;131;0
CH4;111228;111228;330698750;7139;0
CH5;1186957;1186957;318800534;20561;0
CH6;244;244;8780;3;0
CH7;25862;25862;889889;2512;0
CH8;-1;-1;-1;-1;-1
