S1;4574;3820;12792;75;85
S2;61;43;608;4;1
S3;4200;1396;869936;119;2
S4;36;23;3129;5;1
S5;78;34;55476;6;2
S6;291;92;211357;14;11
S7;518;191;53056;7;1
S8;96;25;190742;36;1159
S9;1410;939;56118;54;309
S10;4046;517;942054;56;9054
S11;101;69;50322;136;6
S12;3647;3647;282365;1123;144
S13;1476;881;78334;74;28
S14;9851;4402;219164;2219;1620
C1;6327;162;9022064;39;1000
C2;416;416;789706;9;0
C3;1457;550;4441507;128;9
C4;21914;722;20237925;434;50
C5;7285;4232;8473070;78;0
C6;55850;55850;2734177;825;148
C7;45935;123;215068;310;134
C8;4213;697;2178400;1215;1973
C9;10266;10266;13361773;36;0
C10;1827;1827;176708;14;10
L1;69505;1236;11108995;3639;209287
L2;410044;410044;10934895;89;148
L3;-1;-1;-1;-1;-1
L4;1107620;1107620;267595383;1216;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;93092;93092;285416659;1031;0
L8;984789;984789;37042679;7010;0
CH1;860826;860826;13507593;2668;0
CH2;-1;-1;-1;-1;-1
CH3;9289;9289;2118416;157;0
CH4;221622;221622;744665247;9973;0
CH5;-1;-1;-1;-1;-1
CH6;221;221;9509;4;0
CH7;45543;45543;873648;4065;0
CH8;-1;-1;-1;-1;-1
