S1;4689;3908;12826;75;85
S2;47;45;576;3;1
S3;643;643;841702;23;2
S4;11;11;3624;6;1
S5;44;32;52861;5;2
S6;61;61;189522;10;11
S7;122;122;50081;5;1
S8;55;22;174012;32;1159
S9;1555;902;59639;54;309
S10;1158;566;909855;38;9054
S11;69;58;44886;121;6
S12;942;942;338513;258;144
S13;215;201;72338;9;28
S14;3664;1612;189449;610;1620
C1;6833;158;8801960;39;1000
C2;2995;2995;886543;7;0
C3;6646;508;4947285;116;9
C4;7437;2325;24022192;394;50
C5;6033;3868;7147500;59;0
C6;44685;44685;2551112;777;148
C7;31151;134;170183;226;134
C8;2006;463;2036753;909;1973
C9;8640;8640;11102129;32;0
C10;1096;1096;185412;10;10
L1;64115;855;9704610;3056;209287
L2;281201;281201;11934203;77;148
L3;-1;-1;-1;-1;-1
L4;889784;889784;156319032;991;0
L5;-1;-1;-1;-1;-1
L6;-1;-1;-1;-1;-1
L7;63745;63745;161608687;820;0
L8;807634;807634;13751816;5424;0
CH1;630360;630360;11520623;1573;0
CH2;-1;-1;-1;-1;-1
CH3;6143;6143;1692780;127;0
CH4;105762;105762;316554058;7140;0
CH5;959484;959484;270290630;13747;0
CH6;237;237;9077;3;0
CH7;18503;18503;949258;2496;0
CH8;-1;-1;-1;-1;-1
